detector0 (E),detector0 (H),detector1 (E),detector1 (H),detector2 (E),detector2 (H),detector3 (E),detector3 (H),detector4 (E),detector4 (H),detector5 (E),detector5 (H),detector6 (E),detector6 (H),detector7 (E),detector7 (H),detector8 (E),detector8 (H)
[[ 0.          0.         -0.01384741]],[[0.0025914  0.01360918 0.        ]],[[0.         0.         0.00140941]],[[-0.00236664  0.00145971  0.        ]],[[0.         0.         0.01795875]],[[-0.00308117 -0.01436558  0.        ]],[[0.         0.         0.02504863]],[[-0.00121408 -0.02212059  0.        ]],[[0.        0.        0.0256355]],[[ 0.00121408 -0.022775    0.        ]],[[0.         0.         0.02008498]],[[ 0.00308117 -0.01660925  0.        ]],[[0.         0.         0.00525787]],[[ 0.00236664 -0.0020317   0.        ]],[[ 0.          0.         -0.01202388]],[[-0.0025914   0.01247948  0.        ]],[[ 0.          0.         -0.01105052]],[[-0.00453692  0.0094063   0.        ]]
[[ 0.          0.         -0.00787191]],[[-0.00053443  0.00939967  0.        ]],[[0.         0.         0.01626045]],[[-0.00512507 -0.01233085  0.        ]],[[0.         0.         0.02953361]],[[-0.00378353 -0.02699169  0.        ]],[[0.         0.         0.03128874]],[[-0.0010804  -0.03051261  0.        ]],[[0.         0.         0.03109778]],[[ 0.0010804  -0.03055131  0.        ]],[[0.         0.         0.03053693]],[[ 0.00378353 -0.02838685  0.        ]],[[0.         0.         0.02020086]],[[ 0.00512507 -0.01634469  0.        ]],[[ 0.          0.         -0.00340667]],[[0.00053443 0.00571891 0.        ]],[[ 0.          0.         -0.01517616]],[[-0.00552453  0.01371203  0.        ]]
[[0.         0.         0.00529665]],[[-0.00494665 -0.00178943  0.        ]],[[0.         0.         0.02979907]],[[-0.00657987 -0.02646774  0.        ]],[[0.         0.         0.03136675]],[[-0.00275914 -0.03167726  0.        ]],[[0.         0.         0.02432306]],[[-0.00050829 -0.02710789  0.        ]],[[0.        0.        0.0235058]],[[ 0.00050829 -0.02648556  0.        ]],[[0.         0.         0.02990341]],[[ 0.00275914 -0.03091181  0.        ]],[[0.         0.         0.03187726]],[[ 0.00657987 -0.02916128  0.        ]],[[0.        0.        0.0115995]],[[ 0.00494665 -0.00759557  0.        ]],[[ 0.          0.         -0.01475217]],[[-0.00451303  0.01446551  0.        ]]
[[0.         0.         0.02233494]],[[-0.00883273 -0.01777665  0.        ]],[[0.        0.        0.0339536]],[[-0.00513356 -0.03328679  0.        ]],[[0.         0.         0.01796231]],[[-0.00016331 -0.02214968  0.        ]],[[0.         0.         0.00307091]],[[ 0.00051842 -0.00917137  0.        ]],[[0.         0.         0.00160426]],[[-0.00051842 -0.00781424  0.        ]],[[0.         0.         0.01425417]],[[ 0.00016331 -0.01904096  0.        ]],[[0.         0.         0.03188754]],[[ 0.00513356 -0.03239787  0.        ]],[[0.         0.         0.02788619]],[[ 0.00883273 -0.02356013  0.        ]],[[ 0.          0.         -0.00631655]],[[-0.00053423  0.0082394   0.        ]]
[[0.        0.        0.0353783]],[[-0.00952392 -0.0318407   0.        ]],[[0.        0.        0.0219986]],[[-0.00076835 -0.0254773   0.        ]],[[ 0.          0.         -0.00857999]],[[0.00315813 0.00154655 0.        ]],[[ 0.          0.         -0.02567875]],[[0.00161668 0.01863262 0.        ]],[[ 0.          0.         -0.02724761]],[[-0.00161668  0.02022187  0.        ]],[[ 0.          0.         -0.01332467]],[[-0.00315813  0.0061671   0.        ]],[[0.         0.         0.01576291]],[[ 0.00076835 -0.02037617  0.        ]],[[0.         0.         0.03636567]],[[ 0.00952392 -0.03412151  0.        ]],[[0.         0.         0.01004037]],[[ 0.0056835  -0.00576464  0.        ]]
[[0.         0.         0.03454883]],[[-0.00566112 -0.0345786   0.        ]],[[ 0.          0.         -0.00491673]],[[ 0.00505263 -0.00208484  0.        ]],[[ 0.         0.        -0.0374249]],[[0.00574177 0.03077571 0.        ]],[[ 0.          0.         -0.04823296]],[[0.00195494 0.04391723 0.        ]],[[ 0.          0.         -0.04871617]],[[-0.00195494  0.04473119  0.        ]],[[ 0.          0.         -0.04111561]],[[-0.00574177  0.03492136  0.        ]],[[ 0.          0.         -0.01323199]],[[-0.00505263  0.00583569  0.        ]],[[0.         0.         0.02903083]],[[ 0.00566112 -0.03090357  0.        ]],[[0.         0.         0.02881809]],[[ 0.01152554 -0.02356976  0.        ]]
[[0.         0.         0.01520574]],[[ 0.0022039  -0.01997045  0.        ]],[[ 0.          0.         -0.03593487]],[[0.00963741 0.02854552 0.        ]],[[ 0.          0.         -0.05313802]],[[0.00569354 0.05073574 0.        ]],[[ 0.          0.         -0.04995867]],[[0.00149655 0.05159072 0.        ]],[[ 0.          0.         -0.04930387]],[[-0.00149655  0.05130066  0.        ]],[[ 0.          0.         -0.05306913]],[[-0.00569354  0.05174822  0.        ]],[[ 0.          0.         -0.04248423]],[[-0.00963741  0.03576924  0.        ]],[[0.         0.         0.00397057]],[[-0.0022039  -0.01023583  0.        ]],[[0.         0.         0.03996473]],[[ 0.01356605 -0.03637009  0.        ]]
[[ 0.          0.         -0.01747369]],[[0.01075523 0.00947118 0.        ]],[[ 0.          0.         -0.05451614]],[[0.00983447 0.05091188 0.        ]],[[ 0.          0.         -0.04349012]],[[0.002831   0.04767563 0.        ]],[[ 0.          0.         -0.02612522]],[[0.00023437 0.03388314 0.        ]],[[ 0.         0.        -0.0243222]],[[-0.00023437  0.032307    0.        ]],[[ 0.          0.         -0.03940097]],[[-0.002831    0.04467116  0.        ]],[[ 0.          0.         -0.05479763]],[[-0.00983447  0.05295422  0.        ]],[[ 0.          0.         -0.02968925]],[[-0.01075523  0.02147949  0.        ]],[[0.         0.         0.03298251]],[[ 0.00882502 -0.03385465  0.        ]]
[[ 0.          0.         -0.04802753]],[[0.01490918 0.04073124 0.        ]],[[ 0.          0.         -0.04685522]],[[0.00505277 0.04994243 0.        ]],[[ 0.          0.         -0.00998778]],[[-0.00158345  0.01937406  0.        ]],[[0.         0.         0.01338632]],[[-0.00129642 -0.00318775  0.        ]],[[0.         0.         0.01557305]],[[ 0.00129642 -0.00535474  0.        ]],[[ 0.          0.         -0.00368174]],[[0.00158345 0.0134573  0.        ]],[[ 0.          0.         -0.04002458]],[[-0.00505277  0.04499946  0.        ]],[[ 0.          0.         -0.05396145]],[[-0.01490918  0.04836977  0.        ]],[[0.        0.        0.0058528]],[[-0.00190881 -0.01198513  0.        ]]
[[ 0.          0.         -0.05736443]],[[0.01180005 0.05537734 0.        ]],[[ 0.          0.         -0.01347718]],[[-0.00249097  0.02237397  0.        ]],[[0.         0.         0.03058553]],[[-0.0053319  -0.02103468  0.        ]],[[0.         0.         0.04737038]],[[-0.0020429  -0.04044042  0.        ]],[[0.         0.         0.04843673]],[[ 0.0020429  -0.04184592  0.        ]],[[0.         0.         0.03594018]],[[ 0.0053319  -0.02689136  0.        ]],[[ 0.          0.         -0.00270095]],[[0.00249097 0.01240361 0.        ]],[[ 0.          0.         -0.05292303]],[[-0.01180005  0.05372064  0.        ]],[[ 0.          0.         -0.03073382]],[[-0.01360769  0.02188817  0.        ]]
[[ 0.         0.        -0.0366332]],[[0.00236374 0.04186839 0.        ]],[[0.         0.         0.02850549]],[[-0.00879886 -0.01869094  0.        ]],[[0.         0.         0.05502808]],[[-0.00606834 -0.0509703   0.        ]],[[0.         0.         0.05520603]],[[-0.0016793 -0.0558426  0.       ]],[[0.         0.         0.05468662]],[[ 0.0016793  -0.05579423  0.        ]],[[0.         0.         0.05608008]],[[ 0.00606834 -0.05324043  0.        ]],[[0.         0.         0.03751629]],[[ 0.00879886 -0.02846085  0.        ]],[[ 0.          0.         -0.02315344]],[[-0.00236374  0.03062223  0.        ]],[[ 0.          0.         -0.05708998]],[[-0.01982384  0.05035264  0.        ]]
[[0.         0.         0.00506239]],[[-0.00843494  0.00472359  0.        ]],[[0.         0.         0.05469512]],[[-0.01002587 -0.04986576  0.        ]],[[0.         0.         0.04807673]],[[-0.00342644 -0.05202643  0.        ]],[[0.        0.        0.0319126]],[[-0.00049615 -0.03973187  0.        ]],[[0.         0.         0.03022247]],[[ 0.00049615 -0.03828432  0.        ]],[[0.         0.         0.04430278]],[[ 0.00342644 -0.04946114  0.        ]],[[0.        0.        0.0564479]],[[ 0.01002587 -0.05359139  0.        ]],[[0.         0.         0.02048828]],[[ 0.00843494 -0.01037162  0.        ]],[[ 0.          0.         -0.05492175]],[[-0.01585679  0.05472371  0.        ]]
[[0.         0.         0.04394256]],[[-0.01405894 -0.03547385  0.        ]],[[0.         0.         0.04884135]],[[-0.00558741 -0.05191294  0.        ]],[[0.         0.         0.01444968]],[[ 0.00071302 -0.02369107  0.        ]],[[ 0.          0.         -0.00712822]],[[ 0.00081608 -0.00258209  0.        ]],[[ 0.          0.         -0.00900274]],[[-0.00081608 -0.00063053  0.        ]],[[0.         0.         0.00853647]],[[-0.00071302 -0.01811345  0.        ]],[[0.         0.         0.04250102]],[[ 0.00558741 -0.04753903  0.        ]],[[0.         0.         0.05197644]],[[ 0.01405894 -0.04543999  0.        ]],[[ 0.         0.        -0.0221156]],[[-0.00314764  0.02910001  0.        ]]
[[0.         0.         0.05591423]],[[-0.01130719 -0.05403436  0.        ]],[[0.         0.         0.01552645]],[[ 0.00128422 -0.02412233  0.        ]],[[ 0.          0.         -0.02306613]],[[0.00366    0.01494103 0.        ]],[[ 0.          0.         -0.03606241]],[[0.00144607 0.03101632 0.        ]],[[ 0.          0.         -0.03696234]],[[-0.00144607  0.03221087  0.        ]],[[ 0.          0.         -0.02727588]],[[-0.00366     0.01986147  0.        ]],[[0.         0.         0.00571034]],[[-0.00128422 -0.01489208  0.        ]],[[0.         0.         0.05198337]],[[ 0.01130719 -0.05305266  0.        ]],[[0.         0.         0.02301946]],[[ 0.01077963 -0.01312486  0.        ]]
[[0.         0.         0.03436573]],[[-0.00264069 -0.0398489   0.        ]],[[ 0.          0.         -0.02189514]],[[0.00597143 0.01401081 0.        ]],[[ 0.          0.         -0.03960556]],[[0.00378152 0.03806279 0.        ]],[[ 0.          0.         -0.03690847]],[[0.00092811 0.03948405 0.        ]],[[ 0.          0.         -0.03616857]],[[-0.00092811  0.03913979  0.        ]],[[ 0.          0.         -0.03977915]],[[-0.00378152  0.03933096  0.        ]],[[ 0.          0.         -0.02859081]],[[-0.00597143  0.02182241  0.        ]],[[0.         0.         0.02198565]],[[ 0.00264069 -0.0293301   0.        ]],[[0.         0.         0.05281143]],[[ 0.01755367 -0.04635797  0.        ]]
[[ 0.          0.         -0.00413748]],[[ 0.00574949 -0.00418827  0.        ]],[[ 0.          0.         -0.03816271]],[[0.00586944 0.0364522  0.        ]],[[ 0.          0.         -0.02667678]],[[0.00128314 0.03199895 0.        ]],[[ 0.          0.         -0.01236212]],[[-9.19309322e-05  1.98736868e-02  0.00000000e+00]],[[ 0.          0.         -0.01090499]],[[9.19309322e-05 1.85570205e-02 0.00000000e+00]],[[ 0.          0.         -0.02310786]],[[-0.00128314  0.02918271  0.        ]],[[ 0.          0.         -0.03801702]],[[-0.00586944  0.03806556  0.        ]],[[ 0.          0.         -0.01612284]],[[-0.00574949  0.00821448  0.        ]],[[0.         0.         0.04906217]],[[ 0.01357716 -0.04986986  0.        ]]
[[ 0.          0.         -0.03205283]],[[0.00854765 0.02719759 0.        ]],[[ 0.          0.         -0.02523933]],[[0.00173975 0.03007289 0.        ]],[[0.         0.         0.00253279]],[[-0.00160961  0.00483957  0.        ]],[[0.         0.         0.01637747]],[[-0.00075532 -0.0100909   0.        ]],[[0.         0.         0.01732511]],[[ 0.00075532 -0.01127975  0.        ]],[[0.         0.         0.00666508]],[[0.00160961 0.00061648 0.        ]],[[ 0.          0.         -0.01934007]],[[-0.00173975  0.02529333  0.        ]],[[ 0.          0.         -0.03605001]],[[-0.00854765  0.03322269  0.        ]],[[0.         0.         0.01687381]],[[ 0.00252585 -0.02343091  0.        ]]
[[ 0.          0.         -0.03206016]],[[0.00474445 0.03366061 0.        ]],[[0.         0.         0.00302099]],[[-0.00272787  0.00373149  0.        ]],[[0.         0.         0.02408153]],[[-0.00257528 -0.02049303  0.        ]],[[0.         0.         0.02720266]],[[-0.000805   -0.02678889  0.        ]],[[0.         0.         0.02727363]],[[ 0.000805   -0.02713316  0.        ]],[[0.       0.       0.025461]],[[ 0.00257528 -0.0227219   0.        ]],[[0.         0.         0.00940298]],[[ 0.00272787 -0.00288129  0.        ]],[[ 0.          0.         -0.02662729]],[[-0.00474445  0.03022949  0.        ]],[[ 0.         0.        -0.0189077]],[[-0.00739238  0.01216223  0.        ]]
[[ 0.          0.         -0.00904098]],[[-0.00155487  0.01476663  0.        ]],[[0.         0.         0.02295232]],[[-0.00399111 -0.0197738   0.        ]],[[0.         0.         0.02271007]],[[-0.0014195  -0.02512043  0.        ]],[[0.         0.         0.01507597]],[[-0.00021556 -0.01986166  0.        ]],[[0.         0.         0.01423396]],[[ 0.00021556 -0.01915031  0.        ]],[[0.         0.         0.02105903]],[[ 0.0014195  -0.02421108  0.        ]],[[0.         0.         0.02475686]],[[ 0.00399111 -0.02287474  0.        ]],[[ 0.00000000e+00  0.00000000e+00 -4.24081968e-05]],[[0.00155487 0.00624545 0.        ]],[[ 0.          0.         -0.03304129]],[[-0.00956522  0.03122022  0.        ]]
[[0.         0.         0.01531186]],[[-0.00493969 -0.01069094  0.        ]],[[0.         0.         0.02053173]],[[-0.00189213 -0.02284433  0.        ]],[[0.         0.         0.00387495]],[[ 0.00052037 -0.00926482  0.        ]],[[ 0.          0.         -0.00625263]],[[0.00045386 0.00111251 0.        ]],[[ 0.         0.        -0.0072089]],[[-0.00045386  0.00210503  0.        ]],[[0.         0.         0.00110386]],[[-0.00052037 -0.00652187  0.        ]],[[0.         0.         0.01753334]],[[ 0.00189213 -0.0209297   0.        ]],[[0.         0.         0.02014706]],[[ 0.00493969 -0.01678225  0.        ]],[[ 0.         0.        -0.0199296]],[[-0.00432479  0.02347448  0.        ]]
[[0.         0.         0.02157782]],[[-0.00359698 -0.02163059  0.        ]],[[0.         0.         0.00230044]],[[ 0.00111184 -0.00713656  0.        ]],[[ 0.          0.         -0.01365467]],[[0.00159626 0.01040315 0.        ]],[[ 0.         0.        -0.0176531]],[[0.0005407  0.01652086 0.        ]],[[ 0.          0.         -0.01777716]],[[-0.0005407   0.01686115  0.        ]],[[ 0.          0.         -0.01519158]],[[-0.00159626  0.01244057  0.        ]],[[ 0.          0.         -0.00199074]],[[-0.00111184 -0.00281211  0.        ]],[[0.         0.         0.01965976]],[[ 0.00359698 -0.02128535  0.        ]],[[0.         0.         0.00460126]],[[0.00253433 0.00030265 0.        ]]
[[0.         0.         0.00883867]],[[ 0.00022031 -0.01253031  0.        ]],[[ 0.          0.         -0.01324929]],[[0.00242342 0.01058581 0.        ]],[[ 0.          0.         -0.01554517]],[[0.00104904 0.01682998 0.        ]],[[ 0.          0.         -0.01138085]],[[0.00011826 0.0144983  0.        ]],[[ 0.          0.         -0.01077739]],[[-0.00011826  0.01408098  0.        ]],[[ 0.          0.         -0.01476346]],[[-0.00104904  0.01657297  0.        ]],[[ 0.          0.         -0.01512288]],[[-0.00242342  0.01329575  0.        ]],[[0.         0.         0.00338567]],[[-0.00022031 -0.00754012  0.        ]],[[0.         0.         0.01894705]],[[ 0.00545051 -0.01699986  0.        ]]
[[ 0.         0.        -0.0078158]],[[0.00278489 0.00454964 0.        ]],[[ 0.         0.        -0.0135067]],[[0.00131396 0.01493943 0.        ]],[[ 0.          0.         -0.00340916]],[[-0.00033582  0.00719335  0.        ]],[[0.         0.         0.00357337]],[[-0.00024817  0.00026584  0.        ]],[[0.         0.         0.00409681]],[[ 0.00024817 -0.00033507  0.        ]],[[ 0.          0.         -0.00143088]],[[0.00033582 0.0053582  0.        ]],[[ 0.          0.         -0.01192185]],[[-0.00131396  0.01409299  0.        ]],[[ 0.         0.        -0.0114793]],[[-0.00278489  0.00896279  0.        ]],[[0.         0.         0.01388133]],[[ 0.00311331 -0.01584035  0.        ]]
[[ 0.          0.         -0.01315744]],[[0.00220459 0.0131776  0.        ]],[[ 0.          0.         -0.00167322]],[[-0.00073606  0.00504088  0.        ]],[[0.         0.         0.00910946]],[[-0.00105208 -0.00671097  0.        ]],[[0.         0.         0.01196525]],[[-0.00032757 -0.01104081  0.        ]],[[0.         0.         0.01207867]],[[ 0.00032757 -0.0113284   0.        ]],[[0.         0.         0.01013264]],[[ 0.00105208 -0.00808621  0.        ]],[[0.         0.         0.00125524]],[[0.00073606 0.00217822 0.        ]],[[ 0.          0.         -0.01232848]],[[-0.00220459  0.0133664   0.        ]],[[ 0.          0.         -0.00143704]],[[-0.00113172 -0.00176436  0.        ]]
[[ 0.          0.         -0.00520822]],[[-0.00026381  0.00774746  0.        ]],[[0.         0.         0.00893921]],[[-0.00159835 -0.00712643  0.        ]],[[0.         0.         0.01046044]],[[-0.00062744 -0.01137011  0.        ]],[[0.         0.         0.00757658]],[[-0.000115   -0.00983728  0.        ]],[[0.         0.         0.00727292]],[[ 0.000115  -0.0095997  0.       ]],[[0.         0.         0.00985383]],[[ 0.00062744 -0.01119421  0.        ]],[[0.         0.         0.01017098]],[[ 0.00159835 -0.00891473  0.        ]],[[ 0.         0.        -0.0016821]],[[0.00026381 0.00458235 0.        ]],[[ 0.          0.         -0.01098272]],[[-0.00306902  0.0097845   0.        ]]
[[0.         0.         0.00560756]],[[-0.00184761 -0.00348065  0.        ]],[[0.         0.         0.00876398]],[[-0.00074868 -0.00984984  0.        ]],[[0.         0.         0.00181371]],[[ 0.00024508 -0.00448489  0.        ]],[[ 0.        0.       -0.002756]],[[0.00015514 0.0001339  0.        ]],[[ 0.          0.         -0.00314189]],[[-0.00015514  0.00057177  0.        ]],[[0.         0.         0.00056731]],[[-0.00024508 -0.00328945  0.        ]],[[0.         0.         0.00755022]],[[ 0.00074868 -0.00919488  0.        ]],[[0.         0.         0.00787001]],[[ 0.0018476  -0.00624441  0.        ]],[[ 0.          0.         -0.00766912]],[[-0.0015574   0.00916644  0.        ]]
[[0.         0.         0.00846543]],[[-0.00125215 -0.00865448  0.        ]],[[0.         0.         0.00040955]],[[ 0.0005708  -0.00270904  0.        ]],[[ 0.          0.         -0.00640733]],[[0.00062642 0.0049364  0.        ]],[[ 0.          0.         -0.00793607]],[[0.00023428 0.00758976 0.        ]],[[ 0.          0.         -0.00804912]],[[-0.00023428  0.00777125  0.        ]],[[ 0.          0.         -0.00695208]],[[-0.00062642  0.00579189  0.        ]],[[ 0.          0.         -0.00147531]],[[-0.0005708  -0.00082769  0.        ]],[[0.         0.         0.00761484]],[[ 0.00125213 -0.00854203  0.        ]],[[0.         0.         0.00196933]],[[0.00099431 0.00014358 0.        ]]
